benchmark,vpr_time,cpd,total_wirelength,packing_time,routing_time,placement_time,fpga_size,fpga_area,num_blocks,num_nets,fanout_avg,fanout_max,fanout_min,device_utilization,,,,
DMA,,,,1741.67,,,789 x 584,460776,11284,8725,3.4,462,1,0.01,,,,
DMA_dup,,,,1674,,,789 x 584,460776,11550,8991,3.4,266,1,0.01,,,,
DSP,,,,24160.67,,,1183 x 876,1036308,19310,15356,3.4,452,1,0,,,,
DSP_dup,,,,23347.93,,,1183 x 876,1036308,19951,15997,3.4,596,1,0,,,,
ac97_ctrl,,,,853.61,,,656 x 486,318816,7331,5080,3,197,1,0.01,,,,
ac97_ctrl_dup,,,,862.99,,,656 x 486,318816,7306,5055,3,197,1,0.01,,,,
adder,55.85,27.8311,8118,0.59,0.19,0.0504949,64 x 47,3008,639,510,2.3,4,1,0.07,,,,
adder_dup,52.07,27.8311,8118,0.67,0.18,0.0448023,64 x 47,3008,639,510,2.3,4,1,0.07,,,,
aes_core,1743.49,15.7546,121593,14.44,1.26,1.23061,218 x 161,35098,5207,4539,4.3,273,1,0.03,,,,
aes_core_dup,1746.46,16.3201,142357,14.52,1.24,1.27178,218 x 161,35098,5282,4614,4.3,273,1,0.03,,,,
arbiter,66.1,16.1429,48241,3.04,1.92,0.627365,64 x 47,3008,3107,2978,5.1,42,1,0.12,,,,
arbiter_dup,72.31,16.0166,62306,4.04,2.81,0.513128,64 x 47,3008,3368,3239,5,21,1,0.13,,,,
bar,35.05,8.93048,12596,0.71,0.25,0.0450442,46 x 34,1564,775,647,4.4,128,1,0.1,,,,
bar_dup,35.76,8.93048,12596,0.69,0.37,0.0437971,46 x 34,1564,775,647,4.4,128,1,0.1,,,,
c1355,8.06,7.76893,1208,0.17,0.04,0.00331687,19 x 14,266,137,105,3.1,22,1,0.15,,,,
c1355_dup,8.28,7.53505,1206,0.16,0.04,0.00359052,19 x 14,266,145,113,2.9,17,1,0.15,,,,
c17,7.01,5.50161,31,0.09,0.01,0.000263284,9 x 7,63,9,7,1.4,2,1,0.07,,,,
c17_dup,7.12,5.50161,31,0.2,0.01,0.000189205,9 x 7,63,9,7,1.4,2,1,0.07,,,,
c1908,8.5,8.00437,958,0.16,0.02,0.00355842,17 x 13,221,131,106,3,19,1,0.15,,,,
c1908_dup,7.55,7.89746,957,0.19,0.05,0.00303411,17 x 13,221,131,106,3,19,1,0.15,,,,
c2670,32.6,9.06369,5307,0.27,0.15,0.0178289,40 x 30,1200,338,274,2.1,17,1,0.1,,,,
