benchmark,time,cpd,total_wirelength,packing_time,routing_time,placement_time,fpga_size,fpga_area,num_blocks,num_nets,fanout_avg,fanout_max,fanout_min,device_utilization
ac97_ctrl,,,,,,,,,7331,5080,3.0,197.0,1.0,
ac97_ctrl_dup,,,,,,,,,7306,5055,3.0,197.0,1.0,
adder,,,,4.15,,,209 x 155,32395,639,510,2.3,4.0,1.0,0.01
adder_dup,,,,5.3,,,209 x 155,32395,639,510,2.3,4.0,1.0,0.01
aes_core,,,,,,,,,5207,4539,4.3,273.0,1.0,
aes_core_dup,,,,,,,,,5282,4614,4.3,273.0,1.0,
arbiter,758.48,13.292,86233,4.14,3.42,0.36915,209 x 155,32395,3107,2978,5.1,42.0,1.0,0.02
arbiter_dup,772.85,13.429,100118,4.41,3.26,0.457082,209 x 155,32395,3368,3239,5.0,21.0,1.0,0.02
bar,356.2,5.28,27850,0.96,0.75,,147 x 109,16023,775,647,4.4,128.0,1.0,0.01
bar_dup,362.58,5.28,27850,0.95,0.76,,147 x 109,16023,775,647,4.4,128.0,1.0,0.01
c1355,1.19,,,,,,,,,,,,,
c1355_dup,1.19,,,,,,,,,,,,,
c17,1.24,,,,,,,,,,,,,
c17_dup,1.23,,,,,,,,,,,,,
c1908,,,,,,,,,,,,,,
c1908_dup,1.28,,,,,,,,,,,,,
c2670,1.26,,,,,,,,,,,,,
c2670_dup,1.26,,,,,,,,,,,,,
c3540,1.3,,,,,,,,,,,,,
c3540_dup,1.27,,,,,,,,,,,,,
c432,1.24,,,,,,,,,,,,,
c432_dup,1.24,,,,,,,,,,,,,
c499,27.33,3.821,2278,0.08,0.04,0.00331133,47 x 35,1645,137,105,3.1,22.0,1.0,0.03
c499_dup,27.8,3.487,1958,0.07,0.05,0.00679743,47 x 35,1645,144,112,3.0,19.0,1.0,0.03
c5315,1.27,,,,,,,,,,,,,
c5315_dup,1.27,,,,,,,,,,,,,
c6288,1.4,,,,,,,,,,,,,
c6288_dup,1.25,,,,,,,,,,,,,
c7552,1.23,,,,,,,,,,,,,
c7552_dup,1.27,,,,,,,,,,,,,
c880,1.25,,,,,,,,,,,,,
c880_dup,1.22,,,,,,,,,,,,,
cavlc,1.21,,,,,,,,,,,,,
cavlc_dup,1.18,,,,,,,,,,,,,
ctrl,2.52,1.49,252,0.04,0.01,0.00140709,17 x 13,221,62,36,4.5,27.0,1.0,0.09
ctrl_dup,2.35,1.49,252,0.04,0.01,0.0013004,17 x 13,221,62,36,4.5,27.0,1.0,0.09
dec,416.08,3.86,16701,0.73,0.29,0.0191845,147 x 109,16023,551,295,3.2,31.0,1.0,0.01
dec_dup,411.14,3.86,16701,0.73,0.29,0.0196249,147 x 109,16023,551,295,3.2,31.0,1.0,0.01
des_area,1.24,,,,,,,,,,,,,
des_area_dup,1.24,,,,,,,,,,,,,
des_perf,1.24,,,,,,,,,,,,,
des_perf_dup,1.24,,,,,,,,,,,,,
div,,,,,,,,,,,,,,
max,2205.9,38.811,107242,18.22,1.4,,352 x 261,91872,1484,1354,2.6,131.0,1.0,0.0
max_dup,2247.64,38.313,109989,18.97,1.25,0.160333,352 x 261,91872,1457,1327,2.7,130.0,1.0,0.0
sasc,436.69,3.645,10052,0.85,0.11,0.025157,150 x 111,16650,413,281,2.9,36.0,1.0,0.01
sasc_dup,423.88,3.465,9881,0.85,0.13,0.0259526,150 x 111,16650,413,281,3.0,36.0,1.0,0.01
simple_spi,,,,1.94,,,158 x 117,18486,489,342,3.1,38.0,1.0,0.01
simple_spi_dup,,,,2.01,,,158 x 117,18486,490,343,3.1,38.0,1.0,0.01
sin,25.54,27.324,18377,1.32,2.31,0.285745,39 x 29,1131,1507,1482,4.4,120.0,1.0,0.15
sin_dup,25.4,26.709,18707,1.33,1.6,0.202103,39 x 29,1131,1622,1597,4.3,108.0,1.0,0.18
spi,1554.01,7.312,81118,10.26,1.33,0.166767,301 x 223,67123,1496,1219,3.8,125.0,1.0,0.01
spi_dup,1555.03,7.522,79534,9.82,1.38,0.205343,301 x 223,67123,1405,1128,3.9,125.0,1.0,0.01
sqrt,503.49,580.675,55248,5.16,5.12,1.99556,104 x 77,8008,5912,5848,4.6,219.0,1.0,0.09
sqrt_dup,498.47,567.246,57999,5.56,5.51,2.46621,104 x 77,8008,6554,6490,4.4,117.0,1.0,0.1
square,489.51,28.006,46182,3.47,2.86,,104 x 77,8008,4176,4048,4.1,169.0,1.0,0.06
square_dup,485.32,28.006,46182,3.25,2.46,,104 x 77,8008,4176,4048,4.1,169.0,1.0,0.06
ss_pcm,525.27,3.334,5860,0.59,0.24,0.0264603,109 x 81,8829,303,205,2.4,53.0,1.0,0.01
ss_pcm_dup,529.72,3.171,5852,0.62,0.29,0.0151961,109 x 81,8829,305,207,2.4,53.0,1.0,0.01
systemcaes,,,,,,,,,3988,3169,3.6,358.0,1.0,
systemcaes_dup,,,,,,,,,3995,3176,3.5,379.0,1.0,
systemcdes,,,,23.34,,,309 x 229,70761,994,736,3.1,182.0,1.0,0.0
systemcdes_dup,,,,22.52,,,309 x 229,70761,1529,1271,3.2,291.0,1.0,0.01
tv80,3498.83,12.534,187578,41.2,2.36,0.455234,436 x 323,140828,3089,2685,4.2,206.0,1.0,0.0
tv80_dup,3531.35,11.98,188580,40.58,2.3,0.515749,436 x 323,140828,3241,2837,4.1,199.0,1.0,0.0
usb_funct,,,,,,,,,7423,5565,3.4,716.0,1.0,
usb_funct_dup,,,,,,,,,7497,5639,3.3,727.0,1.0,
usb_phy,591.12,2.918,4201,0.8,0.22,0.021639,115 x 85,9775,325,214,2.5,31.0,1.0,0.01
usb_phy_dup,614.59,2.912,4229,0.71,0.23,0.0158977,115 x 85,9775,326,215,2.6,42.0,1.0,0.01
voter,5665.85,22.712,253911,106.95,3.01,0.37146,549 x 407,223443,3820,3819,3.6,7.0,1.0,0.0
voter_dup,5749.92,22.712,253911,103.56,3.13,0.40516,549 x 407,223443,3820,3819,3.6,7.0,1.0,0.0
